URL,User-agent,Directive,Path,Sitemap
"https://liuzhou.lianjia.com/robots.txt
",Baiduspider,Disallow,/*.js*,
"https://liuzhou.lianjia.com/robots.txt
",Baiduspider,Disallow,/*.css* ,
"https://liuzhou.lianjia.com/robots.txt
",Baiduspider,Disallow,/*?* ,
"https://liuzhou.lianjia.com/robots.txt
",,Sitemap,,https://liuzhou.lianjia.com/sitemap-ershou-resblock.xml
"https://liuzhou.lianjia.com/robots.txt
",Sogou inst spider,Disallow,/solr,
"https://liuzhou.lianjia.com/robots.txt
",Sogou inst spider,Disallow,/test,
"https://liuzhou.lianjia.com/robots.txt
",Sogou inst spider,Disallow,/tools,
"https://liuzhou.lianjia.com/robots.txt
",Sogou inst spider,Disallow,/exchange,
"https://liuzhou.lianjia.com/robots.txt
",Sogou inst spider,Disallow,/agent,
"https://liuzhou.lianjia.com/robots.txt
",Sogou inst spider,Disallow,/owner,
"https://liuzhou.lianjia.com/robots.txt
",Sogou inst spider,Disallow,/center,
"https://liuzhou.lianjia.com/robots.txt
",Sogou inst spider,Disallow,/cmsmanage,
"https://liuzhou.lianjia.com/robots.txt
",Sogou inst spider,Disallow,/compatible,
"https://liuzhou.lianjia.com/robots.txt
",Sogou inst spider,Disallow,/admin,
"https://liuzhou.lianjia.com/robots.txt
",Sogou inst spider,Disallow,/Admin,
"https://liuzhou.lianjia.com/robots.txt
",Sogou inst spider,Disallow,/install,
"https://liuzhou.lianjia.com/robots.txt
",Sogou inst spider,Disallow,/jingjiren,
"https://liuzhou.lianjia.com/robots.txt
",Sogou inst spider,Disallow,/*.js*,
"https://liuzhou.lianjia.com/robots.txt
",Sogou inst spider,Disallow,/*.css*  ,
"https://liuzhou.lianjia.com/robots.txt
",Sogou inst spider,Disallow,/*?* ,
"https://liuzhou.lianjia.com/robots.txt
",,Sitemap,,https://liuzhou.lianjia.com/sitemap-ershou-resblock.xml
"https://liuzhou.lianjia.com/robots.txt
",Sogou spider,Disallow,/solr,
"https://liuzhou.lianjia.com/robots.txt
",Sogou spider,Disallow,/test,
"https://liuzhou.lianjia.com/robots.txt
",Sogou spider,Disallow,/tools,
"https://liuzhou.lianjia.com/robots.txt
",Sogou spider,Disallow,/exchange,
"https://liuzhou.lianjia.com/robots.txt
",Sogou spider,Disallow,/agent,
"https://liuzhou.lianjia.com/robots.txt
",Sogou spider,Disallow,/owner,
"https://liuzhou.lianjia.com/robots.txt
",Sogou spider,Disallow,/center,
"https://liuzhou.lianjia.com/robots.txt
",Sogou spider,Disallow,/cmsmanage,
"https://liuzhou.lianjia.com/robots.txt
",Sogou spider,Disallow,/compatible,
"https://liuzhou.lianjia.com/robots.txt
",Sogou spider,Disallow,/admin,
"https://liuzhou.lianjia.com/robots.txt
",Sogou spider,Disallow,/Admin,
"https://liuzhou.lianjia.com/robots.txt
",Sogou spider,Disallow,/install,
"https://liuzhou.lianjia.com/robots.txt
",Sogou spider,Disallow,/jingjiren,
"https://liuzhou.lianjia.com/robots.txt
",Sogou spider,Disallow,/*.js*,
"https://liuzhou.lianjia.com/robots.txt
",Sogou spider,Disallow,/*.css* ,
"https://liuzhou.lianjia.com/robots.txt
",Sogou spider,Disallow,/*?* ,
"https://liuzhou.lianjia.com/robots.txt
",,Sitemap,,https://liuzhou.lianjia.com/sitemap-ershou-resblock.xml
"https://liuzhou.lianjia.com/robots.txt
",Googlebot,Disallow,/solr,
"https://liuzhou.lianjia.com/robots.txt
",Googlebot,Disallow,/test,
"https://liuzhou.lianjia.com/robots.txt
",Googlebot,Disallow,/tools,
"https://liuzhou.lianjia.com/robots.txt
",Googlebot,Disallow,/exchange,
"https://liuzhou.lianjia.com/robots.txt
",Googlebot,Disallow,/agent,
"https://liuzhou.lianjia.com/robots.txt
",Googlebot,Disallow,/owner,
"https://liuzhou.lianjia.com/robots.txt
",Googlebot,Disallow,/center,
"https://liuzhou.lianjia.com/robots.txt
",Googlebot,Disallow,/cmsmanage,
"https://liuzhou.lianjia.com/robots.txt
",Googlebot,Disallow,/compatible,
"https://liuzhou.lianjia.com/robots.txt
",Googlebot,Disallow,/admin,
"https://liuzhou.lianjia.com/robots.txt
",Googlebot,Disallow,/Admin,
"https://liuzhou.lianjia.com/robots.txt
",Googlebot,Disallow,/install,
"https://liuzhou.lianjia.com/robots.txt
",Googlebot,Disallow,/jingjiren,
"https://liuzhou.lianjia.com/robots.txt
",Googlebot,Disallow,/*.js*,
